CountryCod;CountryName;CountryID
77;"BAHAMAS             ";693
919;"MOZAMBIQUE          ";694
919;"PAKISTAN            ";695
249;"CHILE               ";696
169;AZERBAIJAN;697
169;"BOLIVIA             ";698
275;"PERU                ";699
750;"SRILANKA            ";700
455;"ESTADOS UNIDOS      ";701
87;"ESTADOS UNIDOS      ";702
190;"PANAMA              ";703
573;"REINO UNIDO         ";704
767;"CANADA              ";705
935;ZONA FRANCA ARGOS S.A;706
127;"CHINA               ";707
0;"PANAMA              ";708
245;OTROS PAISES Y TERR.;709
63;"ESTADOS UNIDOS      ";710
74;AZERBAIJAN;711
215;"JAPON               ";712
919;"REPUBLICA CHECA     ";713
939;"CHINA               ";714
386;"INDONESIA           ";715
919;LUXEMBURGO;716
919;TUNICIA;717
169;RUSIA;718
919;"EGIPTO              ";719
741;"SINGAPUR            ";720
244;"EMIRATOS ARABES U.  ";721
919;"DINAMARCA           ";722
493;"COREA DEL SUR       ";723
767;"FRANCIA             ";724
474;"MARRUECOS           ";725
169;ESPA�A;726
647;REPUBLICA DOMINICANA;727
919;"BANGLADESH          ";728
919;"SINGAPUR            ";729
759;"SUDAN               ";730
548;"NUEVA ZELANDA       ";731
919;"PARAGUAY            ";732
301;"BULGARIA            ";733
921;COLOMBIA;734
149;"INDIA               ";735
105;OTROS PAISES Y TERR.;736
111;"BULGARIA            ";737
23;"FINLANDIA           ";738
919;"PORTUGAL            ";739
215;"ESTADOS UNIDOS      ";740
756;"SUDAFRICA           ";741
141;"KAMPUCHEA (CAMBOYA) ";742
764;"POLONIA             ";743
493;"ESTADOS UNIDOS      ";744
169;"ISRAEL              ";745
455;"INDONESIA           ";746
63;"MEXICO              ";747
169;"ARABIA SAUDITA      ";748
87;"MARRUECOS           ";749
211;"CHILE               ";750
27;"ARUBA               ";751
386;"ESTADOS UNIDOS      ";752
198;"CROACIA             ";753
919;"TAIWAN              ";754
628;"CHINA               ";755
573;BELGICA;756
